FIPS,State,County,FOODINSEC_00_02,FOODINSEC_07_09,FOODINSEC_10_12,CH_FOODINSEC_02_12,CH_FOODINSEC_09_12,VLFOODSEC_00_02,VLFOODSEC_07_09,VLFOODSEC_10_12,CH_VLFOODSEC_02_12,CH_VLFOODSEC_09_12,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11
13157,GA,Jackson,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13159,GA,Jasper,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13161,GA,Jeff Davis,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13163,GA,Jefferson,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13165,GA,Jenkins,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13167,GA,Johnson,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13169,GA,Jones,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13171,GA,Lamar,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13173,GA,Lanier,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13175,GA,Laurens,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13177,GA,Lee,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13179,GA,Liberty,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13181,GA,Lincoln,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13183,GA,Long,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13185,GA,Lowndes,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13187,GA,Lumpkin,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13189,GA,McDuffie,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13191,GA,McIntosh,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13193,GA,Macon,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13195,GA,Madison,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13197,GA,Marion,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13199,GA,Meriwether,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13201,GA,Miller,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13205,GA,Mitchell,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13207,GA,Monroe,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13209,GA,Montgomery,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13211,GA,Morgan,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13213,GA,Murray,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13215,GA,Muscogee,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13217,GA,Newton,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13219,GA,Oconee,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13221,GA,Oglethorpe,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13223,GA,Paulding,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13225,GA,Peach,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13227,GA,Pickens,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13229,GA,Pierce,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13231,GA,Pike,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13233,GA,Polk,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13235,GA,Pulaski,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13237,GA,Putnam,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13239,GA,Quitman,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13241,GA,Rabun,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13243,GA,Randolph,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13245,GA,Richmond,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13247,GA,Rockdale,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13249,GA,Schley,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13251,GA,Screven,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13253,GA,Seminole,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13255,GA,Spalding,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13257,GA,Stephens,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13259,GA,Stewart,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13261,GA,Sumter,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13263,GA,Talbot,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13265,GA,Taliaferro,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13267,GA,Tattnall,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13269,GA,Taylor,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13271,GA,Telfair,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13273,GA,Terrell,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13275,GA,Thomas,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13277,GA,Tift,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13279,GA,Toombs,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13281,GA,Towns,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13283,GA,Treutlen,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13285,GA,Troup,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13287,GA,Turner,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13289,GA,Twiggs,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13291,GA,Union,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13293,GA,Upson,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13295,GA,Walker,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13297,GA,Walton,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13299,GA,Ware,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13301,GA,Warren,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13303,GA,Washington,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13305,GA,Wayne,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13307,GA,Webster,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13309,GA,Wheeler,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13311,GA,White,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13313,GA,Whitfield,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13315,GA,Wilcox,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13317,GA,Wilkes,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13319,GA,Wilkinson,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
13321,GA,Worth,12.9,15.6,16.9,4,1.3,3.5,5.9,6.5,3,0.6,9.2,10.5
