FIPS,State,County,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC10,POVRATE10,PERPOV10,CHILDPOVRATE10,PERCHLDPOV10,METRO13,POPLOSS00
13189,GA,McDuffie,56.274286,39.593143,2.171429,0.338286,0.256,0.068571,13.586286,26.048,36559,21.4,0,31.5,1,1,0
13191,GA,McIntosh,60.810717,35.805484,1.583758,0.313961,0.320938,0.034885,17.288774,21.474918,35681,19,0,32.8,0,1,0
13193,GA,Macon,33.656716,60.393487,3.575305,1.289009,0.128901,0.122117,12.394844,22.069199,27324,31.7,1,40.1,1,0,0
13195,GA,Madison,85.725462,8.250356,4.050498,0.61522,0.22404,0,13.349929,24.445235,41267,17.2,0,25.3,0,1,0
13197,GA,Marion,58.339053,32.452528,6.520247,0.880805,0.457561,0.148707,13.898421,23.976207,33534,23.8,1,36.7,1,1,0
13199,GA,Meriwether,57.320844,39.027828,1.577846,0.641142,0.304656,0.009094,15.764824,23.690433,35287,20.1,0,31.2,1,1,0
13201,GA,Miller,69.17551,27.706122,1.518367,0.37551,0.228571,0,18.334694,23.444898,32015,24.4,0,37.1,1,0,0
13205,GA,Mitchell,46.361392,47.599796,4.37484,0.510682,0.255341,0.017023,13.137288,24.836156,31094,29.3,1,40.7,1,0,0
13207,GA,Monroe,72.286558,23.648955,2.024675,0.790948,0.242204,0.015138,13.885104,22.528762,49839,14.5,0,21.6,0,1,0
13209,GA,Montgomery,67.346268,26.000219,5.261427,0.284994,0.065768,0.010961,12.857613,22.843363,35133,23.5,0,32.8,1,0,0
13211,GA,Morgan,71.714797,23.500112,2.764719,0.593239,0.251847,0,15.524961,24.843295,45804,16.5,0,24.3,0,1,0
13213,GA,Murray,84.955082,0.534975,13.005955,0.277582,0.237206,0.002523,10.815585,26.86989,39911,19.1,0,27.3,0,1,0
13215,GA,Muscogee,43.652737,44.826606,6.377544,2.138663,0.315454,0.199068,11.629144,25.593385,36359,20.2,0,29.6,1,1,0
13217,GA,Newton,52.016847,40.387963,4.636948,0.88137,0.199084,0.034014,9.83413,28.885132,48989,15.1,0,20.8,0,1,0
13219,GA,Oconee,86.277737,4.90734,4.376981,3.096806,0.094489,0.012192,10.905877,28.355889,76298,8.2,0,10.9,0,1,0
13221,GA,Oglethorpe,76.709846,17.162226,3.664675,0.436271,0.221491,0.013424,14.188872,23.860662,40936,16.6,0,24.2,0,1,0
13223,GA,Paulding,74.99719,16.729434,5.103848,0.869144,0.248026,0.040752,7.180799,30.2788,61496,8.8,0,12.2,0,1,0
13225,GA,Peach,45.13089,45.665283,6.824337,0.801589,0.213035,0.028886,11.424445,22.820004,38024,25.7,1,35.6,1,1,0
13227,GA,Pickens,94.46502,1.00914,2.78278,0.400938,0.234447,0.016989,16.326323,22.551052,48532,13.6,0,22.4,0,1,0
13229,GA,Pierce,84.550592,8.774923,4.728649,0.309201,0.373174,0.063973,14.026016,26.100864,37262,18.3,0,29.3,1,0,0
13231,GA,Pike,86.775981,10.213218,1.080083,0.307796,0.291007,0.005596,12.28944,27.074822,52411,12.7,0,18.3,0,1,0
13233,GA,Polk,73.518987,12.417119,11.77818,0.650995,0.17601,0.038577,13.345389,26.632911,36468,22.1,0,31.3,0,0,0
13235,GA,Pulaski,62.398002,31.706911,3.871774,0.857619,0.249792,0.016653,15.670275,21.465445,36665,20.8,0,28.4,0,1,0
13237,GA,Putnam,66.094825,25.907249,6.348383,0.504289,0.12725,0.042417,18.121406,21.684419,40037,17.8,0,33,0,0,0
13239,GA,Quitman,50.338241,47.672105,1.352965,0.079586,0.119379,0,22.045364,20.453641,28102,28.9,1,44.4,1,0,0
13241,GA,Rabun,88.89162,0.884738,7.993364,0.700418,0.325633,0.043008,21.25215,21.06783,37990,18.1,0,30.9,0,0,0
13243,GA,Randolph,36.027983,61.497603,1.54165,0.285011,0.064775,0,17.826143,22.386319,26863,27.6,1,39.4,1,0,1
13245,GA,Richmond,38.013653,53.535545,4.092267,1.634513,0.28422,0.186488,11.324913,24.585014,37866,25.9,0,39.1,1,1,0
13247,GA,Rockdale,40.868392,45.761896,9.461949,1.757906,0.210057,0.061022,10.638972,26.889632,53899,14.9,0,24.6,0,1,0
13249,GA,Schley,72.095808,23.293413,3.213573,0.718563,0.03992,0,13.113772,30,37761,17.6,0,24.8,1,0,0
13251,GA,Screven,54.121839,43.054889,1.233468,0.383746,0.226136,0.006853,14.897554,25.286096,30925,23.7,1,33.5,1,0,0
13253,GA,Seminole,63.19166,33.073663,2.337037,0.37805,0.137473,0,18.982701,22.957956,30604,27.5,1,40.7,1,0,0
13255,GA,Spalding,60.846222,32.676791,3.825324,0.884928,0.23879,0.046822,13.326986,25.300829,38451,22.5,0,35.1,1,1,0
13257,GA,Stephens,84.072588,10.777459,2.418338,0.668577,0.25979,0.049666,16.61127,22.739255,34445,22.2,0,34.2,0,0,0
13259,GA,Stewart,27.319247,46.764609,24.001321,0.726312,0.181578,0.016507,14.16309,15.665236,26659,38.1,1,46.1,1,0,1
13261,GA,Sumter,40.869618,51.476279,5.231726,1.273652,0.289466,0.027423,12.623785,25.293275,31871,30.6,1,43,1,0,0
13263,GA,Talbot,38.441369,58.834669,1.325564,0.1311,0.2622,0,16.300073,21.325564,29933,21.7,1,35.8,1,0,1
13265,GA,Taliaferro,36.400699,59.638905,2.038439,0.465929,0.116482,0,20.500874,18.811881,26863,30.3,1,48.9,1,0,0
13267,GA,Tattnall,59.545455,29.090909,9.804075,0.387931,0.211599,0.043103,11.64185,21.183386,35039,28,1,35.6,1,0,0
13269,GA,Taylor,57.523018,39.130923,1.841455,0.640018,0.056142,0,14.933753,24.455423,30748,23.6,1,34,1,0,0
13271,GA,Telfair,51.084848,35.333333,12.278788,0.545455,0.048485,0.024242,13.642424,20.09697,28414,32.9,1,41.2,1,0,0
13273,GA,Terrell,36.135266,61.009125,1.685454,0.311326,0.150295,0,14.900698,24.7343,31143,29.3,1,42.2,1,1,0
