FIPS,State,County,LACCESS_POP10,PCT_LACCESS_POP10,LACCESS_LOWI10,PCT_LACCESS_LOWI10,LACCESS_CHILD10,PCT_LACCESS_CHILD10,LACCESS_SENIORS10,PCT_LACCESS_SENIORS10,LACCESS_HHNV10,PCT_LACCESS_HHNV10
13267,GA,Tattnall,954.4100286,3.739851209,379.1875757,1.485844732,221.4523136,0.86775985,154.5680497,0.605674176,473.0316521,5.761652279
13269,GA,Taylor,652.8033406,7.329927472,441.9691827,4.962600299,85.37587458,0.95863322,69.03446155,0.775145537,131.8079236,3.742416911
13271,GA,Telfair,1369.729366,8.301390099,587.0399855,3.557818094,311.3282016,1.886837585,223.770157,1.35618277,341.4881247,6.160709448
13273,GA,Terrell,116.1841347,1.247280029,41.68442653,0.447497869,24.49483392,0.26296118,20.79472574,0.223239138,208.84955,5.934911907
13275,GA,Thomas,12043.04359,26.9298828,6253.173716,13.98294659,3143.425509,7.029126808,1795.839547,4.015741384,855.5197467,4.868376183
13277,GA,Tift,3927.000192,9.788624038,2298.260451,5.728751312,1071.016408,2.669665507,542.1315236,1.351342349,417.1049188,2.811437846
13279,GA,Toombs,4539.608461,16.67563627,2366.127573,8.691648874,1253.047514,4.602900172,576.1251592,2.11631767,395.9020028,3.815922918
13281,GA,Towns,1.107801422,0.01057971,0.517500271,0.004942224,0,0,0,0,145.4365103,3.224756326
13283,GA,Treutlen,1012.358315,14.70382447,553.5299257,8.039650337,219.4988025,3.188072657,96.03208416,1.394801513,95.83746768,3.768677455
13285,GA,Troup,9861.770716,14.70940086,4280.503592,6.384618447,2615.246009,3.900790539,1188.082621,1.77209388,702.6779443,2.830183439
13287,GA,Turner,723.6169588,8.103213424,408.3737791,4.573054638,168.1453572,1.882926733,109.7800134,1.229339456,111.936457,3.35239464
13289,GA,Twiggs,97.52953657,1.080899219,71.02182886,0.787119903,22.51506901,0.249529746,20.77824978,0.230280946,252.4681602,6.947390209
13291,GA,Union,7.359057069,0.034458967,2.70057138,0.012645493,0.897887112,0.004204379,1.675631052,0.007846184,309.2497247,3.392383992
13293,GA,Upson,4929.530922,18.15464561,2222.269197,8.184249241,1246.233044,4.58966981,836.5847822,3.081003139,564.2458754,5.265452364
13295,GA,Walker,17466.90887,25.4041958,7193.241437,10.46198359,4221.649998,6.140045957,2725.669423,3.964264097,812.1570203,3.065090464
13297,GA,Walton,15470.3864,18.4681339,5772.789292,6.8914016,4401.764875,5.254709286,1520.749973,1.815430682,680.1527753,2.299133878
13299,GA,Ware,13610.32349,37.48161349,5127.913745,14.12181578,2884.760159,7.944371445,2235.609311,6.156668075,393.8732677,2.884673119
13301,GA,Warren,86.46048015,1.482010287,45.82160994,0.785423551,15.74728201,0.269922558,15.92580083,0.27298253,191.8514721,8.28732061
13303,GA,Washington,5635.440627,26.59857756,3329.355743,15.71414425,956.9479661,4.51667516,757.4971365,3.575292097,374.8699393,4.967138456
13305,GA,Wayne,8513.120304,28.28373137,3819.936724,12.69124132,2228.519436,7.403965036,1122.452241,3.729201108,422.4704477,3.99990956
13307,GA,Webster,55.97534727,1.999833772,32.65853431,1.166792937,15.88932952,0.567678797,4.558356245,0.1628566,91.01482323,8.133585633
13309,GA,Wheeler,11.99815482,0.16167841,3.85905571,0.052001829,2.831667454,0.038157492,4.361145863,0.058767631,78.71519354,3.657769217
13311,GA,White,0,0,0,0,0,0,0,0,362.368296,3.403797633
13313,GA,Whitfield,27692.97624,26.99146799,12590.05577,12.27112912,8496.025931,8.280807738,2579.647585,2.514300904,668.1824293,1.8993247
13315,GA,Wilcox,68.68102985,0.742096487,33.62316631,0.363297313,17.34682884,0.18743197,11.79664955,0.127462448,253.9276792,8.783385651
13317,GA,Wilkes,3240.501699,30.59097233,1763.726648,16.64992587,700.1111099,6.609186348,612.4209225,5.781373761,432.0162423,10.13408966
13319,GA,Wilkinson,2020.300741,21.12622337,1012.23643,10.58492555,394.2935007,4.123115138,380.8804098,3.982854855,230.6968581,6.292876653
13321,GA,Worth,2450.174229,11.30206296,1380.759092,6.36910878,636.3779488,2.935458042,344.7809373,1.590391334,299.6610523,3.648174486
