FIPS,State,County,PCT_DIABETES_ADULTS09,PCT_DIABETES_ADULTS10,PCT_OBESE_ADULTS09,PCT_OBESE_ADULTS10,PCT_OBESE_ADULTS13,PCT_OBESE_CHILD08,PCT_OBESE_CHILD11,PCH_OBESE_CHILD_08_11,PCT_HSPA09,RECFAC07,RECFAC12,PCH_RECFAC_07_12,RECFACPTH07,RECFACPTH12,PCH_RECFACPTH_07_12,NATAMEN
13225,GA,Peach,12.5,13.1,30.3,33.7,30.3,13.8,16.1,2.3,23.7,1,1,0,0.038191262,0.036203027,-5.205995221,3
13227,GA,Pickens,11.8,11.3,26.4,25.9,30.3,13.1,9.5,-3.6,23.7,3,2,-33.33333333,0.098664737,0.068334017,-30.7411963,4
13229,GA,Pierce,11.7,13.2,28.9,30.6,30.3,9.9,11.4,1.5,23.7,1,1,0,0.056019271,0.053067289,-5.26958183,3
13231,GA,Pike,11.1,11.7,29.9,31.3,30.3,9.6,10.1,0.5,23.7,3,1,-66.66666667,0.174489618,0.056148231,-67.82144862,3
13233,GA,Polk,11.8,13.5,29.1,26.4,30.3,14.3,13.8,-0.5,23.7,4,3,-25,0.096508794,0.072836749,-24.52838205,4
13235,GA,Pulaski,11.4,12.7,30.2,30.7,30.3,19.1,14.2,-4.9,23.7,0,0,0,0,0,0,4
13237,GA,Putnam,13.5,14.2,29.2,32.3,30.3,14.2,15.8,1.6,23.7,0,3,0,0,0.141522785,0,5
13239,GA,Quitman,15,16.3,32.9,31.2,30.3,23.6,18.4,-5.2,23.7,0,0,0,0,0,0,4
13241,GA,Rabun,11.9,13.6,26.8,29.2,30.3,14.9,14,-0.9,23.7,1,0,-100,0.060371891,0,-100,5
13243,GA,Randolph,15.8,16.2,36.1,36.5,30.3,15.8,14.3,-1.5,23.7,1,0,-100,0.137287205,0,-100,3
13245,GA,Richmond,11.6,11.8,32.5,33,30.3,9.5,10.7,1.2,23.7,16,12,-25,0.081085738,0.059233811,-26.94916258,3
13247,GA,Rockdale,11.2,13.5,32.4,33.1,30.3,15.4,14.9,-0.5,23.7,8,5,-37.5,0.097757683,0.058261478,-40.40214985,4
13249,GA,Schley,11.8,12.9,30.6,29,30.3,14.8,15.2,0.4,23.7,0,0,0,0,0,0,3
13251,GA,Screven,13.4,12.9,30.9,33.8,30.3,11.7,15.9,4.2,23.7,1,0,-100,0.06645843,0,-100,3
13253,GA,Seminole,13.9,14.8,32.7,32.2,30.3,11.5,11.7,0.2,23.7,1,0,-100,0.11096316,0,-100,4
13255,GA,Spalding,11.6,12.6,31.8,34,30.3,11.4,11.8,0.4,23.7,7,7,0,0.111012433,0.109606201,-1.266734518,3
13257,GA,Stephens,12.3,15,32.5,31.7,30.3,11,11.2,0.2,23.7,3,3,0,0.118981518,0.11587038,-2.614808235,4
13259,GA,Stewart,16.8,13.6,35.4,34.6,30.3,10.7,11.4,0.7,23.7,0,0,0,0,0,0,3
13261,GA,Sumter,13.8,13.6,34.7,37.2,30.3,20.7,17.7,-3,23.7,3,1,-66.66666667,0.092137592,0.031691703,-65.60393822,4
13263,GA,Talbot,15.7,16.7,35.2,34.8,30.3,19,13.2,-5.8,23.7,1,0,-100,0.15225335,0,-100,4
13265,GA,Taliaferro,15.8,16.3,34.7,35.2,30.3,20.9,12.4,-8.5,23.7,0,0,0,0,0,0,3
13267,GA,Tattnall,10.2,10.5,29,31.5,30.3,18.2,17.2,-1,23.7,1,0,-100,0.043523677,0,-100,4
13269,GA,Taylor,13.5,13.3,33.8,33,30.3,14.6,11.2,-3.4,23.7,0,0,0,0,0,0,3
13271,GA,Telfair,11.5,12.1,29.6,30.6,30.3,16.3,12.2,-4.1,23.7,0,0,0,0,0,0,3
