FIPS,State,County,FFR07,FFR12,PCH_FFR_07_12,FFRPTH07,FFRPTH12,PCH_FFRPTH_07_12,FSR07,FSR12,PCH_FSR_07_12,FSRPTH07,FSRPTH12,PCH_FSRPTH_07_12,PC_FFRSALES02,PC_FFRSALES07,PC_FSRSALES02,PC_FSRSALES07
13187,GA,Lumpkin,18,22,22.22222222,0.676513699,0.718695894,6.235231344,19,19,0,0.714097794,0.620691908,-13.08026526,538,749.6665528,510,711.7697982
13189,GA,McDuffie,20,17,-15,0.929108984,0.784748188,-15.53755251,12,12,0,0.557465391,0.553939898,-0.632414716,538,749.6665528,510,711.7697982
13191,GA,McIntosh,9,10,11.11111111,0.785820309,0.722595563,-8.045700155,21,12,-42.85714286,1.833580721,0.867114676,-52.70921722,538,749.6665528,510,711.7697982
13193,GA,Macon,8,9,12.5,0.599071439,0.631003295,5.330225058,5,2,-60,0.37441965,0.140222954,-62.54925331,538,749.6665528,510,711.7697982
13195,GA,Madison,14,13,-7.142857143,0.503959683,0.465582695,-7.615091019,6,6,0,0.215982721,0.214884321,-0.508559559,538,749.6665528,510,711.7697982
13197,GA,Marion,4,4,0,0.56753689,0.45918953,-19.09080473,4,2,-50,0.56753689,0.229594765,-59.54540236,538,749.6665528,510,711.7697982
13199,GA,Meriwether,9,7,-22.22222222,0.394944708,0.32905561,-16.68311945,16,14,-12.5,0.702123925,0.658111221,-6.268509378,538,749.6665528,510,711.7697982
13201,GA,Miller,3,4,33.33333333,0.48669695,0.670129,37.68917183,3,3,0,0.48669695,0.50259675,3.266878874,538,749.6665528,510,711.7697982
13205,GA,Mitchell,9,13,44.44444444,0.373661048,0.561700657,50.32357799,11,8,-27.27272727,0.456696836,0.345661943,-24.31260409,538,749.6665528,510,711.7697982
13207,GA,Monroe,10,11,10,0.398899039,0.412959417,3.524796336,17,13,-23.52941176,0.678128366,0.488042948,-28.03089025,538,749.6665528,510,711.7697982
13209,GA,Montgomery,3,5,66.66666667,0.33385266,0.560978346,68.03171398,2,0,-100,0.22256844,0,-100,538,749.6665528,510,711.7697982
13211,GA,Morgan,13,15,15.38461538,0.714874897,0.838879257,17.34630226,25,20,-20,1.374759417,1.118505676,-18.6398971,538,749.6665528,510,711.7697982
13213,GA,Murray,25,26,4,0.613813253,0.660032494,7.529853777,11,11,0,0.270077832,0.279244517,3.394090171,538,749.6665528,510,711.7697982
13215,GA,Muscogee,178,180,1.123595506,0.953845659,0.907198621,-4.890417825,121,131,8.26446281,0.648400701,0.660238996,1.825768465,538,749.6665528,510,711.7697982
13217,GA,Newton,48,55,14.58333333,0.501363081,0.541845229,8.074417516,32,32,0,0.334242054,0.315255406,-5.680508349,538,749.6665528,510,711.7697982
13219,GA,Oconee,30,28,-6.666666667,0.952048491,0.832862369,-12.51891292,18,16,-11.11111111,0.571229095,0.475921354,-16.68467897,538,749.6665528,510,711.7697982
13221,GA,Oglethorpe,4,3,-25,0.286491907,0.205226433,-28.3657135,0,0,0,0,0,0,538,749.6665528,510,711.7697982
13223,GA,Paulding,52,58,11.53846154,0.406558095,0.400552486,-1.477183383,55,55,0,0.43001337,0.379834254,-11.6691989,538,749.6665528,510,711.7697982
13225,GA,Peach,15,17,13.33333333,0.572868928,0.615451452,7.433205416,18,13,-27.77777778,0.687442713,0.470639345,-31.53766322,538,749.6665528,510,711.7697982
13227,GA,Pickens,13,15,15.38461538,0.427547195,0.512505125,19.8710064,30,25,-16.66666667,0.986647372,0.854175208,-13.42649538,538,749.6665528,510,711.7697982
13229,GA,Pierce,9,12,33.33333333,0.504173436,0.636807472,26.30722423,7,5,-28.57142857,0.392134894,0.265336447,-32.33541559,538,749.6665528,510,711.7697982
13231,GA,Pike,5,4,-20,0.29081603,0.224592925,-22.7714767,7,4,-42.85714286,0.407142442,0.224592925,-44.83676907,538,749.6665528,510,711.7697982
13233,GA,Polk,31,28,-9.677419355,0.747943156,0.679809653,-9.109449354,24,25,4.166666667,0.579052766,0.606972905,4.821691593,538,749.6665528,510,711.7697982
13235,GA,Pulaski,5,9,80,0.510047945,0.767918089,50.55802048,8,3,-62.5,0.816076711,0.255972696,-68.63374573,538,749.6665528,510,711.7697982
13237,GA,Putnam,16,6,-62.5,0.789577576,0.28304557,-64.15227852,17,11,-35.29411765,0.838926174,0.518916879,-38.14510803,538,749.6665528,510,711.7697982
13239,GA,Quitman,1,0,-100,0.377500944,0,-100,2,0,-100,0.755001888,0,-100,538,749.6665528,510,711.7697982
13241,GA,Rabun,17,14,-17.64705882,1.026322144,0.859053814,-16.29783901,27,33,22.22222222,1.630041053,2.024912561,24.22463575,538,749.6665528,510,711.7697982
13243,GA,Randolph,6,3,-50,0.823723229,0.40944452,-50.29343524,4,6,50,0.549148819,0.818889041,49.11969428,538,749.6665528,510,711.7697982
13245,GA,Richmond,159,154,-3.144654088,0.805789522,0.760167237,-5.661811636,132,133,0.757575758,0.668957339,0.656508068,-1.860996196,538,749.6665528,510,711.7697982
13247,GA,Rockdale,65,65,0,0.794281176,0.757399208,-4.643439758,92,74,-19.56521739,1.124213356,0.862269867,-23.30015807,538,749.6665528,510,711.7697982
