FIPS,State,County,GROC07,GROC12,PCH_GROC_07_12,GROCPTH07,GROCPTH12,PCH_GROCPTH_07_12,SUPERC07,SUPERC12,PCH_SUPERC_07_12,SUPERCPTH07,SUPERCPTH12,PCH_SUPERCPTH_07_12,CONVS07,CONVS12,PCH_CONVS_07_12,CONVSPTH07,CONVSPTH12,PCH_CONVSPTH_07_12,SPECS07,SPECS12,PCH_SPECS_07_12,SPECSPTH07,SPECSPTH12,PCH_SPECSPTH_07_12,SNAPS08,SNAPS12,PCH_SNAPS_08_12,SNAPSPTH08,SNAPSPTH12,PCH_SNAPSPTH_08_12,WICS08,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,PCH_WICSPTH_08_12
13053,GA,Chattahoochee,2,2,0,0.143833154,0.153409527,6.65797346,0,0,0,0,0,0,2,2,0,0.143833154,0.153409527,6.65797346,1,1,0,0.071916577,0.076704763,6.65797346,3,4,33.33333333,0.217801655,0.306819053,40.87085475,2,2,0,0.1452011,0.1534095,5.653141
13055,GA,Chattooga,6,7,16.66666667,0.223297358,0.272108844,21.85941043,0,1,0,0,0.038872692,0,12,23,91.66666667,0.446594715,0.894071914,100.1976029,0,0,0,0,0,0,15.58333333,36.41666667,133.6898396,0.580492953,1.415613865,143.8640911,8,7,-12.5,0.2980071,0.2721089,-8.690471
13057,GA,Cherokee,30,37,23.33333333,0.147138163,0.167182523,13.62281514,4,6,50,0.019618422,0.027110679,38.18991031,153,75,-50.98039216,0.75040463,0.338883492,-54.83989859,9,7,-22.22222222,0.044141449,0.031629126,-28.34597243,48.16666667,107.25,122.6643599,0.229239543,0.484603393,111.3960733,28,33,17.85714,0.1332604,0.1491087,11.8928
13059,GA,Clarke,23,23,0,0.202719973,0.191242745,-5.66161675,2,2,0,0.017627824,0.016629804,-5.66161675,119,69,-42.01680672,1.048855514,0.573728236,-45.29959291,2,2,0,0.017627824,0.016629804,-5.66161675,50.91666667,106.5833333,109.3289689,0.442161511,0.886229968,100.431278,17,18,5.882353,0.1476284,0.1496682,1.381736
13061,GA,Clay,2,2,0,0.628733103,0.641848524,2.086007702,0,0,0,0,0,0,1,4,300,0.314366551,1.283697047,308.3440308,0,0,0,0,0,0,2,5.25,162.5,0.632111252,1.684852375,166.5436457,1,1,0,0.3160556,0.3209243,1.540443
13063,GA,Clayton,49,52,6.12244898,0.179681341,0.195571068,8.843281566,5,6,20,0.018334831,0.022565892,23.07663377,138,148,7.246376812,0.506041327,0.556625346,9.996025351,19,8,-57.89473684,0.069672357,0.030087857,-56.81521622,179.5833333,284.25,58.28306265,0.650643035,1.069059153,64.30809152,64,52,-18.75,0.2318765,0.1955711,-15.65723
13065,GA,Clinch,1,1,0,0.143595635,0.148853826,3.661804108,0,0,0,0,0,0,5,6,20,0.717978173,0.893122953,24.39416493,0,0,0,0,0,0,5.25,11.5,119.047619,0.740584003,1.711818994,131.1444733,1,1,0,0.1410636,0.1488538,5.522479
13067,GA,Cobb,98,98,0,0.141721716,0.138527257,-2.254036373,7,12,71.42857143,0.01012298,0.016962521,67.56450907,586,251,-57.16723549,0.847438018,0.354799404,-58.13270159,36,23,-36.11111111,0.052061039,0.032511499,-37.55118991,218.75,432.3333333,97.63809524,0.310362049,0.611121948,96.90614575,82,86,4.878049,0.1163414,0.1215647,4.489634
13069,GA,Coffee,6,6,0,0.14868783,0.138985407,-6.525364837,1,1,0,0.024781305,0.023164234,-6.525364837,25,41,64,0.619532625,0.949733611,53.29840167,3,3,0,0.074343915,0.069492703,-6.525364837,54,67.83333333,25.61728395,1.325413578,1.571307235,18.55222105,24,19,-20.83333,0.5890727,0.4401205,-25.28588
13071,GA,Colquitt,16,11,-31.25,0.357797755,0.238420357,-33.36449054,1,1,0,0.02236236,0.021674578,-3.075622602,23,32,39.13043478,0.514334273,0.693586492,34.85130768,3,4,33.33333333,0.067087079,0.086698312,29.2325032,38.08333333,51.91666667,36.3238512,0.838655215,1.125271835,34.17573928,12,9,-25,0.264259,0.1950712,-26.18181
13073,GA,Columbia,13,21,61.53846154,0.119420535,0.159541735,33.59656746,1,2,100,0.009186195,0.015194451,65.40527399,72,38,-47.22222222,0.661406039,0.288694569,-56.35138603,3,2,-33.33333333,0.027558585,0.015194451,-44.86490867,32.33333333,66.5,105.6701031,0.292633186,0.505215495,72.64463492,17,22,29.41176,0.1538587,0.167139,8.631474
13075,GA,Cook,6,5,-16.66666667,0.365831352,0.295455888,-19.2371329,0,0,0,0,0,0,14,14,0,0.853606487,0.827276488,-3.084559475,1,1,0,0.060971892,0.059091178,-3.084559475,17.58333333,25.58333333,45.49763033,1.060450717,1.511749296,42.55724213,5,3,-40,0.30155,0.1772735,-41.21255
