,FIPS,State,County,LACCESS_POP10,PCT_LACCESS_POP10,LACCESS_LOWI10,PCT_LACCESS_LOWI10,LACCESS_CHILD10,PCT_LACCESS_CHILD10,LACCESS_SENIORS10,PCT_LACCESS_SENIORS10,LACCESS_HHNV10,PCT_LACCESS_HHNV10
106,13217,GA,Newton,0.091853073,0.276180789,0.149876521,0.210953443,0.098903512,0.332972986,0.088405212,0.15204506,0.067455236,0.075500886
107,13219,GA,Oconee,0.034904255,0.319753977,0.028506654,0.122246675,0.034734714,0.356286049,0.043458599,0.227723563,0.022088417,0.086405713
108,13221,GA,Oglethorpe,0.002420897,0.048835601,0.003693645,0.03487937,0.001654284,0.03736524,0.004744494,0.054745042,0.037919267,0.406762855
109,13223,GA,Paulding,0.122255045,0.258170124,0.135368488,0.133816606,0.136784617,0.32342528,0.086694506,0.104718988,0.056923656,0.025374451
110,13225,GA,Peach,0.021122725,0.229227068,0.039688003,0.201617605,0.019032106,0.231259893,0.025965983,0.161181577,0.061918943,0.356383684
111,13227,GA,Pickens,0.00651642,0.066545914,0.011454373,0.054756652,0.006238716,0.07133539,0.0098986,0.057820354,0.035524719,0.163884308
112,13229,GA,Pierce,0.00818511,0.131146082,0.012157236,0.091184054,0.007460199,0.133837787,0.013092551,0.119991294,0.029941013,0.244089539
113,13231,GA,Pike,0,0,0,0,0,0,0,0,0.011353884,0.101822769
114,13233,GA,Polk,0.017018838,0.12332776,0.036547443,0.123977013,0.016435143,0.133352742,0.027822409,0.115324168,0.058849801,0.204591781
115,13235,GA,Pulaski,0.004356517,0.109021887,0.010053147,0.117768624,0.003835044,0.107458854,0.009536033,0.136501283,0.003291696,0.049923023
116,13237,GA,Putnam,0.002662633,0.037715869,0.004708315,0.031219912,0.001968113,0.031214783,0.00577314,0.046775632,0.021656227,0.132256108
117,13239,GA,Quitman,0.00313408,0.374830454,0.009487604,0.531171352,0.002483927,0.332629868,0.007583011,0.518753711,0.009864664,0.769241055
118,13241,GA,Rabun,0.000416336,0.007688009,0.000383625,0.003316119,0.000235791,0.004875224,0.001235579,0.01305073,0.011246216,0.087305836
119,13243,GA,Randolph,0.001692294,0.065891919,0.004150897,0.07565741,0.001220696,0.053218332,0.002956905,0.065854944,0.021454307,0.442984029
120,13245,GA,Richmond,0.241912081,0.362538715,0.405674305,0.2845952,0.222771799,0.373813135,0.274398146,0.235219148,0.171398176,0.087809659
121,13247,GA,Rockdale,0.143238752,0.505198224,0.183787193,0.303437862,0.142614215,0.56319866,0.158758718,0.320282739,0.088184479,0.13674357
122,13249,GA,Schley,0.000159437,0.009564666,0.00043317,0.012164424,9.48E-05,0.006366322,0.000499471,0.01713898,0.005715578,0.272833809
123,13251,GA,Screven,0.011252776,0.231756776,0.021794209,0.210119857,0.011091,0.255764914,0.018320756,0.2158295,0.042801828,0.464764445
124,13253,GA,Seminole,0.002302454,0.079276363,0.00417765,0.067334583,0.001889132,0.072830392,0.004307919,0.084842813,0.012801754,0.245395614
125,13255,GA,Spalding,0.039233532,0.184034684,0.072944598,0.160172755,0.036741331,0.192972164,0.058369719,0.156611823,0.088695267,0.190100128
126,13257,GA,Stephens,0.009667291,0.111003188,0.022787846,0.122486197,0.008050712,0.103505261,0.016511703,0.108446911,0.037011651,0.193914554
127,13259,GA,Stewart,0.003717674,0.184441825,0.00659832,0.153240891,0.002721244,0.151165626,0.008337525,0.236602793,0.019683057,0.737226888
128,13261,GA,Sumter,0.026693621,0.244455309,0.050054128,0.214577967,0.021769369,0.223221155,0.042888175,0.224659209,0.102937768,0.491961267
129,13263,GA,Talbot,0.001099196,0.048122932,0.002835887,0.058119114,0.000681851,0.033424437,0.002315966,0.057996739,0.034091568,0.780364004
130,13265,GA,Taliaferro,0.004254289,0.74468745,0.01220393,1,0.002713756,0.531882041,0.009987535,1,0.007366382,0.884715438
131,13267,GA,Tattnall,0.003430246,0.040398193,0.006134571,0.033820039,0.002912056,0.038400243,0.006227865,0.041953726,0.050594852,0.35846845
132,13269,GA,Taylor,0.002346241,0.079178504,0.007150264,0.112956175,0.001122677,0.042421585,0.002781541,0.053692637,0.011087746,0.214279839
133,13271,GA,Telfair,0.004922946,0.089672327,0.009497248,0.080981239,0.004093908,0.083496628,0.009016161,0.093939816,0.035364657,0.386964137
134,13273,GA,Terrell,0.000417578,0.013473226,0.000674379,0.010185718,0.000322102,0.011636599,0.000837862,0.015463287,0.020007676,0.370840492
135,13275,GA,Thomas,0.043283915,0.2908989,0.101165073,0.318272692,0.041335457,0.311054004,0.072358076,0.278161626,0.094879574,0.29468181
136,13277,GA,Tift,0.014114035,0.105737555,0.037181709,0.130394913,0.014083665,0.11813845,0.021843596,0.09360453,0.044119619,0.147800923
137,13279,GA,Toombs,0.016315811,0.180131651,0.038279677,0.197834874,0.01647734,0.203688249,0.02321327,0.146592698,0.041664731,0.219528721
138,13281,GA,Towns,3.98E-06,0.000114283,8.37E-06,0.000112492,0,0,0,0,0.012665673,0.177314975
139,13283,GA,Treutlen,0.003638518,0.158831971,0.008955116,0.182994417,0.002886368,0.141079083,0.003869331,0.096614851,0.006923063,0.216155039
140,13285,GA,Troup,0.0354442,0.158892208,0.069250828,0.145323426,0.034389996,0.172618385,0.047870297,0.122749069,0.07718345,0.149139499
141,13287,GA,Turner,0.002600752,0.087531605,0.006606751,0.104089535,0.00221108,0.083323564,0.004423263,0.085153657,0.008787015,0.186429312
