,FIPS,State,County,FFR07,FFR12,PCH_FFR_07_12,FFRPTH07,FFRPTH12,PCH_FFRPTH_07_12,FSR07,FSR12,PCH_FSR_07_12,FSRPTH07,FSRPTH12,PCH_FSRPTH_07_12
94,13191,GA,McIntosh,0.00931677,0.009302326,0.277777778,0.696393958,0.638749983,0.241680398,0.019056261,0.011142061,0.19047619,1.833580721,0.867114676,-52.70921722
95,13193,GA,Macon,0.008281573,0.008372093,0.28125,0.530897109,0.557785523,0.276835893,0.004537205,0.00185701,0.133333333,0.37441965,0.140222954,-62.54925331
96,13195,GA,Madison,0.014492754,0.012093023,0.232142857,0.446609071,0.41155932,0.242812153,0.005444646,0.005571031,0.333333333,0.215982721,0.214884321,-0.508559559
97,13197,GA,Marion,0.004140787,0.00372093,0.25,0.502951192,0.405907979,0.21265092,0.003629764,0.00185701,0.166666667,0.56753689,0.229594765,-59.54540236
98,13199,GA,Meriwether,0.00931677,0.006511628,0.194444444,0.35,0.290874005,0.218978959,0.014519056,0.012999071,0.291666667,0.702123925,0.658111221,-6.268509378
99,13201,GA,Miller,0.00310559,0.00372093,0.333333333,0.431310837,0.59237132,0.361883826,0.002722323,0.002785515,0.333333333,0.48669695,0.50259675,3.266878874
100,13205,GA,Mitchell,0.00931677,0.012093023,0.361111111,0.331138421,0.49652434,0.395090411,0.009981851,0.007428041,0.242424242,0.456696836,0.345661943,-24.31260409
101,13207,GA,Monroe,0.010351967,0.010232558,0.275,0.353504328,0.365042126,0.272090745,0.015426497,0.012070566,0.254901961,0.678128366,0.488042948,-28.03089025
102,13209,GA,Montgomery,0.00310559,0.004651163,0.416666667,0.295860227,0.495885841,0.44163211,0.001814882,0,0,0.22256844,0,-100
103,13211,GA,Morgan,0.013457557,0.013953488,0.288461538,0.633522134,0.741540826,0.308417345,0.022686025,0.018570102,0.266666667,1.374759417,1.118505676,-18.6398971
104,13213,GA,Murray,0.025879917,0.024186047,0.26,0.543961305,0.58344635,0.282617103,0.009981851,0.010213556,0.333333333,0.270077832,0.279244517,3.394090171
105,13215,GA,Muscogee,0.18426501,0.16744186,0.252808989,0.845298023,0.801932828,0.24997332,0.109800363,0.121634169,0.360881543,0.648400701,0.660238996,1.825768465
